,Unnamed: 0,id,seeker_post,response_post,level,rationale_labels,rationale_labels_trimmed,response_post_masked,origin
1929,1930.0,8wpb1i_e1xelwb,I wish I was never born.. I wish I was never born. I hate my stupid life. Nothing makes me happy anymore. 22 years wasted. I have accomplished nothing in my life. There's only a matter of time before I kill myself.,"Man, you feel short because you live in Sweden. There is some hope you because you are still young. I recommend joining a college and going through counciling. Your hight is not everything. From reading your posts, I know you care about people and video games. Sweden is prolific when it comes to video game design. You could write a game that speaks to people, like Detroit spoke to you. Give yourself a chance. You can do something beautiful. Start small everyone else does. Sweden is also an amazing looking country. Check out a natural trail.",1,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",125,"Man, you feel short because you live in Sweden. There is some hope you because you are still young. I recommend joining a college and going through counciling. Your hight is not everything. From reading your posts, I know you care about people and video games. Sweden is prolific when it comes to video game design. You could write a game that speaks to people, like Detroit spoke to you. Give yourself a chance. You can do something beautiful. Start small everyone else does. Sweden is also an amazing looking country. Check out a natural trail.",human
697,1262.0,6fozpi_dikgwxs,Does anyone else hold their own hand when they're falling asleep to feel less alone?. Sure would be nice to have someone next to me.,"I don't, but sometimes i put my arms around myself in bed to feel like im getting a hug from someone",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",47,,human
2014,2332.0,72qmaj_dnkjirq,"Changing my perception. I read a lot of online forum and article that mental illness is forever,you will need meds forever.I have been diagnosed with schiz,I wonder when will I recover and don't need to obediently take the evil meds with a lot of side effect","I can tell you this much: If you can tell whether or not the medication is making a positive difference, then I'd say that it's worth enduring the negative side effects. As a side note, I feel like I've heard of/known people who eventually weened themselves off of their meds and ended up not needing them, but it's probably different from person to person. I have no idea what the future holds for you, and there's probably no definitive way to predict how things will end up for you and your medication, so good luck.",1,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",125,"I can tell you this much: If you can tell whether or not the medication is making a positive difference, then I'd say that it's worth enduring the negative side effects. As a side note, I feel like I've heard of/known people who eventually weened themselves off of their meds and ended up not needing them, but it's probably different from person to person. I have no idea what the future holds for you, and there's probably no definitive way to predict how things will end up for you and your medication, so good luck.",human
1125,2142.0,675g4v_dgntpwp,Are there any methods to coping with depression and suicidal thoughts that actually works?. Emotional support does nothing for me yet I see it everywhere. I think many of us need some real help,"Depression isn't something you can get rid of by wishing it away or telling someone you have it. A lot like an addiction you have to fight to get out of it. And it's hard to tell what path is right or wrong. Talking to people does help. But you need to find someone you can talk to. I couldn't talk to my mom for the life of me, my sister would tell my mom or tell me I was wrong, my dad just gave me a look and didn't know what to say besides he cares about me. Once my mom knew the extent of my depression she became better at helping me. She listened and didn't judge. She let me talk and told didn't lecture but reassured my decisions. She went out of her way to make me feel more confident. That's the person you need to find. Also try writing your feeling down whatever you feel on a peace of paper what ever is on your mind. Write it in chicken scratch don't worry about how ty write just write what you feel. Then throw the paper away. That used to help me, not as much as my mom did but I did help. Life isn't something we can live alone although a lot of us want to, I wish I could, find someone to confide in that supports you.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,human
1280,2489.0,9f9wdm_e5uxm65,"Once upon a time I was very passionate, it's hard for me to see how much I've changed.. I used to think that I could change the world, but now it seems to be a more attractive option to commit suicide than to get up in the middle of the day and begin to do my responsibilities.","What convinced you you In my case, I had been working hard on my career but my supervisors needed to cut me off (they had a year on me but I was on their level of skill). I realized that the most important thing in the world to be taken away from me or controlled by others and that I do anything about it. Classic case of with power do what they can, those without suffer what they felt pretty pointless since.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,human
755,1369.0,8e9jmr_dxth589,"Who can relate?. On days where I feel depressed I want to do any schoolwork. On days where I feel depressed I look and see that I do any schoolwork on that day I felt like doing nothing, which leads to me hating myself and spiraling downward into depression again. quite the cycle.","I'm in the same exact boat that you're in. I also feel like my life is just a cycle. I get a bunch of schoolwork, I try to plan out the assignments, I get depressed because I'm overwhelmed by the amount of work and end up procrastinating, I finally decide to do the work but there's already not enough time to finish it, then I get spiral into self-loathing and depression again because I could have done better. It really builds up my stress in school and takes away from the sleep I need to get through the next day.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,human
1085,2067.0,at9xpk_egznyuk,"2 of my best friends are depressed, how can I help them?. One of them gets depressed from the pressure of exams, but like short phases which last for a few weeks. The other friend is majorly depressed due to personal reasons and self harms to cope with it. It hurts me to see them like this, what can I do to help?",Keep an eye on them. Check up on them because it always happens when you least expect it. Try to talk to your friend that has personal issues. give advice just tell them your there for them.,0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",83,,human
1571,131.0,7cwhak_dptbdol,I can't keep going.. It's getting very hard just to put up a fight.,"What currently feeling. If you want you can talk to me. Rant it out, listening",1,"0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",39,What currently feeling. ,human
40,77.0,60qpap_df8zgb9,Its silly how out of the blue it can hit you and ruin everything you built mentally up to that point.. especially during the ACT. fuck me.,"Its not silly, its cruel ;-;",0,"0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",19,,human
1,1.0,9ezsfi_e5t3oxh,I'm done saying I love you to her because I don't want to hear a lie back to me. I feel so ugly and unwanted and unloved,"idk what a Red pill means exactly but my advice to you is if she treating you right then fuck her there are billions of other girls out there, and if u feel like in love with her and just leave her then try to not care and you have to accept the fact that some girls(as well as some guys) will lie straight to your face for years without any remorse. my advice is stop caring before too late.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,human
