,Unnamed: 0,id,seeker_post,response_post,level,rationale_labels,rationale_labels_trimmed,response_post_masked,origin
1195,1814.0,6whco7_dm95g2f,Anyone on here over 30?. Did life get better from your teen years?,"I'm in my 50's and have been struggling with depression since I was a child. In my experience, the teen years were quite difficult, so I would say yes, that it did get better. Until it got worse again. Then better. Then worse. Then better. Many many wonderful things have happened during the good times. And I've survived 100% of my bad times. What I mostly have learned over these decades of illness, is that things always shift, eventually. I rely on docs, meds, therapy, and my spouse in bad times, and basically just ride it out.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,human
160,248.0,7g53g3_dqgnrm5,Am I the only one ?. Is anyone not going to school or work?,It can. It didn't work for me (only get worse) but maybe it will a good experience for you. I really hope ...,0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",57,,human
671,1023.0,7yj1vm_duhacau,"4:27am. 22 years old. Alone in my room, lying in bed in darkness, listening to music... This night is no different than the last couple of thousands of nights. Am I hopeless?. No job, no friends, no relationships, no kisses or hugs from anyone, nothing. Just a shell of a human being who likes to think he has some undefined potential but no motivation to actually bring it out. Is this a dream?","This could've been written by me, are you my doppelganger? The icing on the cake is having no girlfriend for me.  Knowing that you're ugly to the gender you love so much is so depressing and discouraging while you've spend years on the subject on how to improve, to behave, studying statistics, seeking out more information. All for nothing...  My life is pointless without women I don't see a reason to live my life single and alone and won't allow it to continue for much longer.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,human
1277,1942.0,61298t_dfb65wg,"I wasn't anxious!. When I walked home from school today I didn't feel any anxiety at all when a car drove past slowly right next to me. I had developed a fear for cars driving past me in fear of them swerving trying to kill me, but I didn't feel it today! I'm glad.",That's so awesome!! It's great that you're getting past your fears! I believe in you!,0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",43,,human
1451,2230.0,5t2a3a_ddjtgkq,Hey. I'm trying to find people to add on either PS4 or Xbox one I know this is a deppresion group and this is related to how my deppresion affects me I'd like to find decent friends on there for those who have it I'm happy to explain if Need be,"Sorry man, PC masterrace here. Hope you'll spruce up your friend list nicely.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",39,,human
1142,1730.0,8szz70_e13xmiy,Horrible images and feelings won’t let me sleep.. My depression is taking over. I sleep well since a month ago and I have to lie about it so my family and bf worry. Any advice?,"I am going through this too. Like some time ago I woke up crying thinking that everyone I loved , died.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",47,,human
284,434.0,67kvji_dgr8dn8,"am I the only one who feels like this?. I feel like I wanna be left alone and runaway, delete all social media , give up etc... but at the same time wants to be more involved and try to succeed but just for some reason i can't find the motivation..","Minor problems can become major very quickly. The earlier you start addressing your issues, the better your chance of recovery.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",47,,human
2308,2857.0,704fau_dn0vh5s,"How to over cognitive impairment from depression??. I used to be the smart kid in the class before I became depressed!! I would do the work but it would be easy because I payed so much attention in class. I did well in school exams (Not as well as I could have but better than average) and have been in and out of college since due to indecision and anxiety from my depression. Giving it another go and I am so stupid!! I can't pay attention to anything. How can I get rid of this grogginess and be as alert as I used to be? I know exercise should help, but what kinds and how much? And are there weird foods I should eat? (Heard turmeric and black pepper in smoothies? And omege 3 supplements)",IME supplements are worth nothing when it comes to serious brain fog. Are you on medication?,2,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",37,IME supplements are worth nothing when it comes to serious brain fog. ,human
1527,2381.0,6all5i_dhfntuy,"Depression lies. Does it though? It feels like it's the other way around, help is a lie, optimism is bullshit, and depression is just the natural consequence of witnessing a shitty, broken life finally collapsing on itself.  Maybe I'm just in too deep right now.","I think that's the fucked up thing, it lies so much we think the happy stuff is also lies. I mean I also feel like being happy is bullshit and nearly impossible, but hey who knows maybe that's the depression talking again",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",95,,human
2168,1611.0,ak4ris_ef1hr3m,"Found a job again after more than a year of unemployment. Got a job at an Amazon warehouse. Don't know how to feel about entering my next wageslave job. I'm just so talentless, dumb and stupid that it's not fun anymore. Wish I could escape wageslave hell and be able to get a good paying job :(","Look at it this way. You have a job. You have a roof over your head and you have money coming in. It might not be the money that you want, but you have money. sure not talentless or dumb. Are you able to find any jobs that you can train on? I know where based, but in the UK you can train on many jobs and get paid as well. Mainly within the care sector, but those jobs are rewarding and you gain qualifications from it. Maybe an online course where you can work from home? As I said, not sure where based, but sure if you do some research within your area, you could find many opportunities x",2,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0",125,"Look at it this way. You have a job. You have a roof over your head and you have money coming in. It might not be the money that you want, but you have money. sure not talentless or dumb. I know where based, but in the UK you can train on many jobs and get paid as well. Mainly within the care sector, but those jobs are rewarding and you gain qualifications from it. Maybe an online course where you can work from home? As I said, not sure where based, but sure if you do some research within your area, you could find many opportunities x",human
368,,bpRkZypr5aMPa8DgZNxKt7_BcKGdfXf2AXaB7KjegwEgh,"Stuck in a rut. I was ill for 2 weeks, couldn't get in to college. I'm ok now but I just don't have the willpower to get out of bed. I need to go in but I'm just too anxious over it.","like you're going through a tough time right now. I hope you're feeling better physically. It's understandable to feel anxious about going back to college after being ill, but it's important to try your best to push through and take things one step at a time. Remember that it's okay to ask for help if you need it. Maybe you could talk to a trusted friend or family member about how you're feeling and see if they can offer any support or encouragement.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
859,,8wEqqGDYgtxZcx8KSqsuYt_aExECdwHy65YWKnB9hh2bS,Anyone else occasionally have to go to your car or the bathroom during work to just cry?. Sometimes I just keep myself together for the whole work day,I can relate to that. Sometimes I have to take a break and go for a walk to clear my head and compose myself. It's important to take care of ourselves and our mental health.,0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",79,,machine
