,Unnamed: 0,id,seeker_post,response_post,level,rationale_labels,rationale_labels_trimmed,response_post_masked,origin
55,142.0,7fu3sn_dqedmb8,I want to tear my skin off and become a new person. I feel like I'm constricted,"If it was possible, we would live again but we are stuck in this.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",33,,human
126,318.0,5xtiuf_deksirk,My parents are getting a gun for home defense and I don't trust myself. I don't have the heart to tell them how I feel but I'm terrified of what I'll do to myself. Lol what the hell is wrong with me,They should definitely get a safe that only they can access. No problem then.,0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",33,,human
2167,2593.0,5usp0u_ddwn2c8,"What's the most supportive thing anyone has ever done for you / could ever do for you?. A friend is struggling with depression, and I'd like to help her as much as possible. What can i do to be as helpful and supportive as possible?","I do landscaping during spring through fall. It's just me, not for a company. Through word of mouth, I started working for this nice couple. They new nothing about my mental illness and made me feel so comfortable, I told them. They have been unbelievably supportive. They've adopted me as their grandson and continuously check to see how I'm doing and to take me to breakfast or lunch. I'll even be going to Canada with them in a few months.  It was a wonderful reminder that there are really good people in this world once you get to know them.",2,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",125,"I do landscaping during spring through fall. It's just me, not for a company. Through word of mouth, I started working for this nice couple. They new nothing about my mental illness and made me feel so comfortable, I told them. They have been unbelievably supportive. They've adopted me as their grandson and continuously check to see how I'm doing and to take me to breakfast or lunch. I'll even be going to Canada with them in a few months.  It was a wonderful reminder that there are really good people in this world once you get to know them.",human
687,1807.0,6222yd_dfjlpev,"so this happened today. this might be a stupid reason to get sad over but i thought i would share with you all so yeah.  I got out of class and was waiting for the bus with a couple other people/students and well i tripped when i was getting on the bus, i felt so embarrased i didn't even got on the bus, i just walked away and went to other bus stop to wait for another cause i didn't wanted to share the bus with the same people that laughed me.. aaand thats it thanks for taking the time of reading :/","sadness is not the same as depression. And people trip all the time and others laugh, it's no big deal and no one cares beyond that moment. Next time, either make a comment about your legs not working, or bow to everyone, or something like that, or just get on the bus and keep going with your day. Imagine if you were a waiter and dropped some glasses- would you walk right out of the restaurant because people clapped?",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,human
1796,1402.0,5pqhub_dcszufo,"Temporary mood improvement?. Anyone else sometimes have a better mood temporarily sometimes? Woke up this morning feeling not so bad, had lots of coffee and felt very energetic and up for an hour or so... Starting to slip back down to normal. Anybody else ever feel this way?","Yep, it often feels like a constant struggle to keep up the mood ): Have you tried blasting music and dancing crazily by yourself? That tends to help me prolong the mood for about an hour!",2,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",81,"Yep, it often feels like a constant struggle to keep up the mood ): Have you tried blasting music and dancing crazily by yourself? That tends to help me prolong the mood for about an hour!",human
2280,3046.0,756n2c_do3x3zi,"People often say depression is emotional numbness, but I find it's more accurate for me to call it emotional constipation.. It's crude, I know, but really quite accurate. I find that my emotions build up, but there's never an outlet, and the more pressure I put or the more emotionally affected I should be, the harder it is to have any emotional output. It continues until something frees up and becomes loose - usually something small that slips through the cracks. At that point, the floodgates open - I get freed up to feel more strongly, usually with explosive effects. By contrast, less depressive days are the days where I'm emotionally loose enough to function - my feeling machine has been well oiled.",Seems accurate. I just had a horrible day where the floodgates burst due to all the stuff that was building up the past few weeks that I couldn't let out.,2,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",73, ,human
1547,658.0,4ofa91_d4c8ljy,it just keeps getting worse. please tell me what to do.. I was let go from my job. My boyfriend left me. I can't stop crying. Everything is just....  I want desperately to die. I can't keep up with this. I'm not strong enough. Please just tell me what I can do to feel better.,"I am in the exact same place. I've lost two jobs and two boyfriends in the last year (2 jobs in the last 6 months). My ex lives two blocks away and I see him every time I leave the house. I never see my friends. I live alone and money is running out. I can't imagine finding a new job (my background makes it impossible) or finding new love (I'm too old). But you are not alone. Know that I am here and you can PM me and we can be there for each other, for whatever it's worth.",2,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",125,"I am in the exact same place. I've lost two jobs and two boyfriends in the last year (2 jobs in the last 6 months). My ex lives two blocks away and I see him every time I leave the house. I never see my friends. I live alone and money is running out. I can't imagine finding a new job (my background makes it impossible) or finding new love (I'm too old). But you are not alone. Know that I am here and you can PM me and we can be there for each other, for whatever it's worth.",human
448,1278.0,5qpzck_dd1888n,I wish i could get a hug. A long warm comforting hug from someone that loves me.,"guess it depends on what you want :(  if you had it, it's like warm sunshine (you just feel really warm and comfortable and safe in the hug -- even if you both are standing outside in freezing winter weather) and then when you lose it you have been dumped in the freaking artic and you are constantly shivering and cold and just wishing that the person can come back and give you another hug even if he doesn't care anymore. feels like the little joy in your life has been extinguished and you have been ordered to return to your robotic, logical, depressing existence  if you never had it, everything is very static and numb and getting through life is just a daily chore that you have to complete or else",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,human
2077,2359.0,9bryhh_e55abqk,I wish I had artistic talent. Art has been my obsession all of my life but i'm so bad at it because i'm an idiot. a cognitively deficient fuck up is what i am,"Nah man, What you're saying is actually quite common of someone who is good at art. Most people with a high degree or artistic talent are really good at *recognizing* good art, but get frustrated because their own art doesn't live up to the crazy high standard they've set for themselves. Malcom Gladwell suggests that it takes 10,000 hours to gain mastery in something. Art is a skill just like anything else. I think a lot of people get fooled into this You either have it or you don't mentality when it comes to creative arts. It's just not the case. I think it's more important that you actually have an obsession and something that you want to be good at! Most people don't have that. Just keep practicing and never give up. If you have the drive you will succeed eventually. You'll get better and better every day.",2,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",125,"Nah man, What you're saying is actually quite common of someone who is good at art. Most people with a high degree or artistic talent are really good at *recognizing* good art, but get frustrated because their own art doesn't live up to the crazy high standard they've set for themselves. Malcom Gladwell suggests that it takes 10,000 hours to gain mastery in something. Art is a skill just like anything else. I think a lot of people get fooled into this You either have it or you don't mentality when it comes to creative arts. It's just not the case. I think it's more important that you actually have an obsession and something that you want to be good at! Most people don't have that. Just keep practicing and never give up. If you have the drive you will succeed eventually. You'll get better and better every day.",human
1178,2964.0,8srn9x_e11ohwk,"At work, feeling down,. at my second job. Which is pretty boring desk job. feeling really alone right now and stop thinking about my ex. Looking for anything to distract me","ex for a reason, right? I know hard to not dwell on what lost but imagine what you could gain without them. Your life is yours, not your let them rule it.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",75,,human
